id,favorite_count,retweet_count
832757312314028032,16578,3520
832682457690300417,11665,2840
832645525019123713,2880,520
832636094638288896,15602,2712
832397543355072512,11779,2155
832369877331693569,16870,3114
832273440279240704,11146,2273
832215909146226688,0,6055
832215726631055365,0,9098
832088576586297345,61,2
832040443403784192,0,9346
832032802820481025,17559,4549
831939777352105988,23558,5982
831926988323639298,331,34
831911600680497154,27106,6335
831670449226514432,10259,1770
831650051525054464,6996,1869
831552930092285952,8823,2264
831322785565769729,9129,1516
831315979191906304,6429,1095
831309418084069378,11578,2405
831262627380748289,11711,1989
830956169170665475,7858,1458
830583320585068544,65669,16341
830173239259324417,0,5538
830097400375152640,9630,2862
829878982036299777,0,4890
829861396166877184,12057,1891
829501995190984704,31214,10356
829449946868879360,10301,1961
829141528400556032,23996,7164
829011960981237760,52437,15962
828801551087042563,0,3346
828770345708580865,25200,5718
828708714936930305,35938,10927
828650029636317184,9363,1300
828409743546925057,6253,1137
828408677031882754,7573,1256
828381636999917570,12413,2171
828376505180889089,7269,1043
828372645993398273,12397,2863
828361771580813312,2152,170
828046555563323392,11575,2807
828011680017821696,10208,2106
827933404142436356,19783,5122
827653905312006145,15272,2956
827600520311402496,7363,919
827324948884643840,15608,2969
827199976799354881,10432,2180
826958653328592898,21265,4890
826848821049180160,35753,9931
826615380357632002,0,3904
826598799820865537,5058,244
826598365270007810,9882,2295
826476773533745153,18154,4099
826240494070030336,13098,2561
826204788643753985,4809,902
826115272272650244,15427,3040
825876512159186944,10336,1826
825829644528148480,12575,2440
825535076884762624,56147,17241
825147591692263424,18048,4444
825120256414846976,0,1221
825026590719483904,6200,1221
824796380199809024,0,5395
824775126675836928,14718,3438
824663926340194305,10396,1737
824325613288833024,11680,10378
824297048279236611,14864,3786
824025158776213504,4767,588
823939628516474880,10502,2655
823719002937630720,0,10970
823699002998870016,13805,2472
823581115634085888,12868,2582
823333489516937216,693,22
823322678127919110,15551,3940
823269594223824897,0,9692
822975315408461824,17140,3379
822872901745569793,129817,42373
822859134160621569,13096,2228
822647212903690241,0,6295
822610361945911296,14638,2902
822489057087389700,17915,6295
822462944365645825,27611,13997
822244816520155136,34553,9692
822163064745328640,0,4666
821886076407029760,11193,2264
821813639212650496,0,3318
821765923262631936,8313,1628
821522889702862852,7956,1722
821421320206483457,0,5473
821407182352777218,11621,4256
821153421864615936,254,10
821149554670182400,8535,1933
821107785811234820,9501,2096
821044531881721856,12540,2232
820837357901512704,0,6616
820749716845686786,31216,9714
820690176645140481,12095,3180
820494788566847489,0,554
820446719150292993,0,2531
820314633777061888,3312,554
820078625395449857,19607,6182
820013781606658049,0,1154
819952236453363712,5272,1154
819924195358416896,12799,4809
819711362133872643,13234,3066
819588359383371776,9561,1965
819347104292290561,7149,1182
819238181065359361,2243,401
819227688460238848,22858,6616
819015337530290176,0,36415
819015331746349057,0,18748
819006400881917954,44911,18748
819004803107983360,86144,36415
818646164899774465,0,20664
818627210458333184,22212,7445
818614493328580609,9748,2510
818588835076603904,0,6022
818536468981415936,10765,2410
818307523543449600,0,7944
818259473185828864,10912,2222
818145370475810820,12151,2522
817908911860748288,4810,787
817827839487737858,51124,26687
817777686764523521,10660,2644
817536400337801217,11668,2912
817502432452313088,0,3345
817423860136083457,33436,14456
817415592588222464,5553,935
817181837579653120,0,8349
817171292965273600,8683,1993
817120970343411712,12119,2563
817056546584727552,8516,1620
816829038950027264,0,4656
816816676327063552,9920,2013
816697700272001025,9696,2152
816450570814898180,30157,7944
816336735214911488,8531,1922
816091915477250048,8856,2104
816062466425819140,0,1001
816014286006976512,0,5195
815990720817401858,4902,1001
815966073409433600,22205,8349
815745968457060357,0,4075
815736392542261248,9766,2235
815639385530101762,8157,1630
815390420867969024,10287,3767
